INFO:__main__:Initialize the dataset...
INFO:__main__:Finish the dataset initialization.
INFO:__main__:Define the Network Structure and Losses
INFO:__main__:Finish Define the Network Structure and Losses
INFO:__main__:Start Training...
INFO:__main__:Epoch 0, [1600/7180]: Batch Time:2.1464,	 Data Time:0.0001, Whole Gen Loss:0.7873	,Recon Loss:0.7823,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [1650/7180]: Batch Time:2.0858,	 Data Time:0.0001, Whole Gen Loss:0.7512	,Recon Loss:0.7462,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [1700/7180]: Batch Time:2.0766,	 Data Time:0.0001, Whole Gen Loss:0.6762	,Recon Loss:0.6712,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [1750/7180]: Batch Time:1.9859,	 Data Time:0.0001, Whole Gen Loss:0.5987	,Recon Loss:0.5937,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [1800/7180]: Batch Time:1.9788,	 Data Time:0.0001, Whole Gen Loss:0.6555	,Recon Loss:0.6505,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [1850/7180]: Batch Time:1.9741,	 Data Time:0.0001, Whole Gen Loss:0.8153	,Recon Loss:0.8103,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [1900/7180]: Batch Time:1.9363,	 Data Time:0.0001, Whole Gen Loss:0.6068	,Recon Loss:0.6018,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [1950/7180]: Batch Time:2.1030,	 Data Time:0.0001, Whole Gen Loss:0.6947	,Recon Loss:0.6897,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2000/7180]: Batch Time:2.8276,	 Data Time:0.0001, Whole Gen Loss:0.5586	,Recon Loss:0.5536,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2050/7180]: Batch Time:2.1187,	 Data Time:0.0001, Whole Gen Loss:0.6446	,Recon Loss:0.6396,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2100/7180]: Batch Time:1.9734,	 Data Time:0.0001, Whole Gen Loss:0.5283	,Recon Loss:0.5233,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2150/7180]: Batch Time:1.9524,	 Data Time:0.0001, Whole Gen Loss:0.6237	,Recon Loss:0.6187,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2200/7180]: Batch Time:2.1553,	 Data Time:0.0001, Whole Gen Loss:0.5494	,Recon Loss:0.5444,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2250/7180]: Batch Time:1.9556,	 Data Time:0.0001, Whole Gen Loss:0.6399	,Recon Loss:0.6349,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2300/7180]: Batch Time:2.0181,	 Data Time:0.0001, Whole Gen Loss:0.5110	,Recon Loss:0.5060,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2350/7180]: Batch Time:2.2348,	 Data Time:0.0001, Whole Gen Loss:0.6550	,Recon Loss:0.6500,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2400/7180]: Batch Time:2.0446,	 Data Time:0.0001, Whole Gen Loss:0.6553	,Recon Loss:0.6503,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2450/7180]: Batch Time:2.1771,	 Data Time:0.0001, Whole Gen Loss:0.5516	,Recon Loss:0.5466,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2500/7180]: Batch Time:2.1423,	 Data Time:0.0001, Whole Gen Loss:0.5342	,Recon Loss:0.5292,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2550/7180]: Batch Time:2.1498,	 Data Time:0.0001, Whole Gen Loss:0.5275	,Recon Loss:0.5225,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2600/7180]: Batch Time:2.0965,	 Data Time:0.0001, Whole Gen Loss:0.5409	,Recon Loss:0.5359,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2650/7180]: Batch Time:2.1704,	 Data Time:0.0001, Whole Gen Loss:0.5663	,Recon Loss:0.5613,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2700/7180]: Batch Time:1.9937,	 Data Time:0.0001, Whole Gen Loss:0.6205	,Recon Loss:0.6155,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2750/7180]: Batch Time:2.2298,	 Data Time:0.0001, Whole Gen Loss:0.5307	,Recon Loss:0.5257,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2800/7180]: Batch Time:2.1058,	 Data Time:0.0001, Whole Gen Loss:0.5984	,Recon Loss:0.5934,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2850/7180]: Batch Time:2.0305,	 Data Time:0.0001, Whole Gen Loss:0.5624	,Recon Loss:0.5574,	 GAN Loss:0.0050,	 D Loss:0.0000
INFO:__main__:Epoch 0, [2900/7180]: Batch Time:2.1095,	 Data Time:0.0001, Whole Gen Loss:0.5762	,Recon Loss:0.5712,	 GAN Loss:0.0050,	 D Loss:0.0000
